Unnamed: 0,state_code,latitude,longitude,id,Unnamed: 6,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,state_reduced,founded_year,startup_age
1005,CA,42.35888,-71.05682,c:6669,0,2007-01-01,0,2009-04-01,2010-01-01,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,1,0,0,0,0,0,1,0,0,0,0,1.0,0,1,CA,2007,16
204,CA,37.238916,-121.973718,c:16283,0,2000-01-01,0,2005-02-14,2009-12-28,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,1,0,0,0,0,1,0,0,1,1,1,4.75,1,1,CA,2000,23
1001,CA,32.901049,-117.192656,c:65620,San Diego CA 92121,2009-03-18,0,2010-03-30,2010-03-30,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,1,0,0,0,0,0,0,1,0,0,0,4.0,1,1,CA,2009,14
738,CA,37.320309,-122.05004,c:42668,Cupertino CA 95014,2002-01-01,0,2005-02-17,2007-04-25,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,1,0,0,0,0,0,0,0,1,1,1,3.3333,1,1,CA,2002,21
1002,CA,37.779281,-122.419236,c:65806,San Francisco CA 94105,2010-08-01,2012-10-01 00:00:00,2010-08-01,2012-04-01,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,1,0,0,0,0,1,1,0,0,0,0,1.0,1,0,CA,2010,13
379,CA,37.406914,-122.09037,c:22898,Mountain View CA 94043,2002-01-01,2009-02-15 00:00:00,2006-07-18,2006-07-18,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,1,0,0,0,0,0,0,0,1,0,0,3.0,1,0,CA,2002,21
195,CA,37.3915589,-122.0702643,c:16191,0,2005-01-01,0,2006-09-21,2010-03-18,1.7205,5.211,3.0,6.6082,6,3,26000000,2,1,0,0,0,0,1,0,1,1,0,0,1.6667,1,1,CA,2005,18
875,CA,38.057107,-122.513742,c:5192,0,2004-01-01,0,2005-08-24,2010-10-04,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,1,0,0,0,0,0,0,1,1,0,1,3.5,1,1,CA,2004,19
16,MA,42.712207,-73.203599,c:1043,Williamstown MA 1267,2002-01-01,0,2005-08-02,2013-02-08,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,0,0,1,0,0,1,0,1,0,0,1,4.0,1,1,MA,2002,21
846,CA,37.427235,-122.145783,c:498,0,2005-06-01,0,2007-02-01,2010-02-05,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,1,0,0,0,0,1,1,1,0,0,0,1.0,1,1,CA,2005,18
