Unnamed: 0,latitude,longitude,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,founded_year,startup_age
919,40.364273,-74.951278,1.8301,3.3288,3.274,7.6274,16,2,17100000,4,0,0,0,0,1,0,0,1,1,0,0,2.5,1,2005,18
329,42.4871509,-71.1986329,0.9178,2.6329,2.9534,3.9699,5,2,15000000,2,0,0,1,0,0,0,0,1,1,0,0,2.0,1,2008,15
852,37.404788,-121.940842,5.4767,5.4767,0.0,0.0,5,1,30000000,0,1,0,0,0,0,0,0,0,0,1,0,6.0,1,2005,18
874,37.36883,-122.03635,7.537000000000001,7.537000000000001,7.0055,7.0055,6,1,15000000,1,1,0,0,0,0,0,0,0,0,0,1,6.0,1,2003,20
964,37.388869,-122.072353,5.0767,5.0767,4.7562,6.0466,7,1,5000000,2,1,0,0,0,0,0,0,1,0,0,0,1.0,0,2007,16
438,37.382162,-122.036301,1.7479,3.5452,2.0,2.0,4,2,80000000,1,1,0,0,0,0,0,0,1,1,0,0,1.0,0,2005,18
145,37.779281,-122.419236,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,1,0,0,0,0,1,0,0,0,0,0,5.0,1,2011,12
685,37.4429885,-122.1624131,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,1,0,0,0,0,0,0,1,1,0,0,1.0,1,2000,23
830,40.759089,-73.987573,-0.1151,-0.1151,0.0466,0.0466,1,1,150000,1,0,1,0,0,0,0,1,0,0,0,0,1.0,0,2010,13
975,40.011355,-105.274166,0.0,3.4712,0.0,1.9123,4,5,10000003,2,0,0,0,0,1,1,0,1,1,0,0,1.5,1,2009,14
863,40.397761,-105.07498,3.5123,3.9562,3.9534,4.8356,5,2,510000000,3,0,0,0,0,1,1,0,0,0,0,0,2.5,1,2007,16
682,40.825655,-73.46762199999998,4.4904,4.4904,0.0,0.0,2,1,11000000,0,0,1,0,0,0,0,0,0,0,1,0,3.0,1,2001,22
237,37.288326,-121.945633,6.0055,6.0055,6.0055,6.0055,2,1,10000000,1,1,0,0,0,0,0,0,0,0,1,0,1.0,1,2000,23
632,37.779281,-122.419236,0.8329,0.8329,0.0,0.0,3,1,545000,0,1,0,0,0,0,0,1,0,0,0,0,2.0,1,2009,14
866,37.3965713,-122.0836937,2.4767,2.6438,3.4164,5.2,8,2,20750000,3,1,0,0,0,0,0,0,1,1,0,0,2.0,1,2008,15
986,39.78373,-100.445882,0.7479,7.8247,4.3151,5.9041,16,7,26390819,3,0,0,0,0,1,1,0,1,1,0,0,1.3333,1,2005,18
365,40.729839,-73.991781,0.7479,7.0904,8.0055,9.874,5,2,15100000,3,0,1,0,0,0,0,1,1,0,0,0,1.0,0,2002,21
781,39.364504,-84.247556,0.2247,0.9534,0.5808,1.0685,2,2,700000,2,0,0,0,0,1,0,1,0,0,0,0,2.5,0,2010,13
328,30.384453000000004,-97.709809,2.2082,4.6521,-0.6548,-0.6548,1,2,20000000,1,0,0,0,1,0,1,0,0,0,1,0,2.0,1,2005,18
950,39.103151,-94.581908,5.2027,6.189,7.5068,12.8932,6,2,10000000,2,0,0,0,0,1,0,0,1,1,0,0,4.5,1,2000,23
370,37.522281,-122.258139,0.9151,2.7753,3.0027,3.6466,6,2,9500000,2,1,0,0,0,0,0,0,1,1,0,0,2.5,1,2006,17
753,40.729839,-73.991781,1.1836,1.3781,1.3288,3.1096,7,2,1900000,2,0,1,0,0,0,0,1,1,0,0,0,2.5,1,2009,14
840,40.728158,-74.077642,1.6658,5.3014,5.8356,8.3534,27,6,78500000,3,0,0,0,0,1,0,0,1,1,1,1,3.4,1,2005,18
86,30.6324797,-86.9843446,4.6,9.4164,5.2575,9.7753,19,4,5700000000,2,0,0,0,0,1,0,0,0,0,0,0,4.25,1,2003,20
485,36.002893,-78.904075,-0.1671,2.0192,0.0,0.0,9,2,5000000,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,2006,17
1101,47.765758,-122.184304,1.0877,1.0877,0.0,0.0,5,1,20500000,0,0,0,0,0,1,1,0,0,0,0,0,4.0,1,1999,24
657,40.730646,-73.986614,0.8904,2.2521,2.6603,2.7534,21,4,36500000,3,0,1,0,0,0,0,0,1,1,1,0,1.5,1,2009,14
599,37.779281,-122.419236,1.2849,2.0082,2.1616,3.4438,12,2,5700000,3,1,0,0,0,0,0,0,1,1,0,0,4.0,1,2009,14
419,37.317847,-121.948469,4.6521,8.1288,6.0055,6.0055,4,4,7210210,1,1,0,0,0,0,1,0,1,1,0,0,1.0,0,2004,19
925,40.729839,-73.991781,0.7726,1.4959,-0.5863,3.7534,14,3,10500000,3,0,1,0,0,0,1,0,1,0,0,0,6.3333,1,2009,14
1074,37.779281,-122.419236,0.4329,1.126,2.6904,3.5397,23,2,9800000,2,1,0,0,0,0,0,1,1,0,0,0,4.5,1,2010,13
1123,34.090368,-118.393064,0.5863,2.6384,3.5425,6.0712,13,3,16500000,4,1,0,0,0,0,0,0,1,1,1,0,1.3333,1,2006,17
202,37.430025,-122.09998,2.7753,5.0027,4.1644,10.7534,2,3,17400000,2,1,0,0,0,0,1,0,0,0,1,0,5.0,1,2003,20
1037,47.601803,-122.332085,1.7507,9.9589,9.3425,10.4603,35,7,33672656,3,0,0,0,0,1,1,0,1,1,0,0,2.0,1,2003,20
210,37.7710177,-122.4025976,3.1589,5.6712,9.0055,9.0055,9,2,23500000,1,1,0,0,0,0,1,0,0,1,0,0,5.0,1,2003,20
977,37.779281,-122.419236,1.8822,1.8822,1.3288,2.9479,6,1,1600000,2,1,0,0,0,0,0,0,1,0,0,0,3.0,1,2009,14
